Order ID	Order Date	Ship Date	Ship Mode	Region	Category	Sub-Category	Sales ($)	Cost ($)	Net Profit ($)	Shipping Days	Month	Quarter	Shipping Status	Profit/Loss
ORD-1001	05-01-2026	09-01-2026	Standard	East	Technology	Phones	$500.00	$350.00	$150.00	4	Jan	Q1	Normal	Profit
ORD-1002	07-01-2026	08-01-2026	First Class	West	Furniture	Chairs	$250.00	$200.00	$50.00	1	Jan	Q1	Fast	Profit
ORD-1003	10-01-2026	15-01-2026	Standard	South	Office Supplies	Paper	$40.00	$45.00	-$5.00	5	Jan	Q1	Delayed	Loss
ORD-1004	12-01-2026	14-01-2026	Second Class	Central	Technology	Accessories	$120.00	$80.00	$40.00	2	Jan	Q1	Fast	Profit
ORD-1005	15-01-2026	20-01-2026	Standard	East	Furniture	Tables	$600.00	$650.00	-$50.00	5	Jan	Q1	Delayed	Loss
ORD-1006	18-01-2026	19-01-2026	Same Day	West	Technology	Copiers	$800.00	$500.00	$300.00	1	Jan	Q1	Fast	Profit
ORD-1007	22-01-2026	27-01-2026	Standard	South	Furniture	Bookcases	$300.00	$320.00	-$20.00	5	Jan	Q1	Delayed	Loss
ORD-1008	25-01-2026	28-01-2026	Second Class	Central	Office Supplies	Binders	$25.00	$15.00	$10.00	3	Jan	Q1	Normal	Profit
ORD-1009	01-02-2026	05-02-2026	Standard	East	Technology	Phones	$450.00	$300.00	$150.00	4	Feb	Q1	Normal	Profit
ORD-1010	03-02-2026	04-02-2026	First Class	West	Furniture	Chairs	$200.00	$160.00	$40.00	1	Feb	Q1	Fast	Profit
ORD-1011	08-02-2026	13-02-2026	Standard	South	Office Supplies	Storage	$150.00	$110.00	$40.00	5	Feb	Q1	Delayed	Profit
														
